,Period,Correlation,Ticker1,Ticker2,20d_Volume1,20d_Volume2,close_SD1,close_SD2,Sector1_basic-materials,Sector1_communication-services,Sector1_consumer-cyclical,Sector1_consumer-defensive,Sector1_energy,Sector1_financial-services,Sector1_healthcare,Sector1_industrials,Sector1_real-estate,Sector1_technology,Sector1_utilities,Sector2_basic-materials,Sector2_communication-services,Sector2_consumer-cyclical,Sector2_consumer-defensive,Sector2_energy,Sector2_financial-services,Sector2_healthcare,Sector2_industrials,Sector2_real-estate,Sector2_technology,Sector2_utilities
0,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.13313020944012133,A,AAL,2832750.0,41299280.0,3.169536851894597,0.1550322598758263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.24133562415539,AAL,AAP,41299280.0,1917545.0,0.1550322598758263,1.8937662375548443,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.37862534630616024,AAP,AAPL,1917545.0,88396150.0,1.8937662375548443,9.238689177920339,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6682499434841955,AAPL,ABBV,88396150.0,5591725.0,9.238689177920339,5.102004971272256,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.7940697392409795,ABBV,ABT,5591725.0,6037030.0,5.102004971272256,1.771487204231231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.4778975898093033,ABT,ACN,6037030.0,4352520.0,1.771487204231231,9.071108525242114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6740547927932522,ACN,ADBE,4352520.0,4869535.0,9.071108525242114,34.766796523032774,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.4898080041140547,ADBE,ADI,4869535.0,3203135.0,34.766796523032774,3.126451968704671,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.12463002485458245,ADI,ADM,3203135.0,4612360.0,3.126451968704671,0.7995055016008151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
9,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.46176116494717834,ADM,ADP,4612360.0,1679285.0,0.7995055016008151,3.196679835513767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
